possession_1st,possession_2nd,shots_1st,shots_2nd,shots_on_target_1st,shots_on_target_2nd,corners_1st,corners_2nd,passes_1st,passes_2nd,accurate_passes_1st,accurate_passes_2nd,crosses_1st,crosses_2nd,accurate_crosses_1st,accurate_crosses_2nd,successful_tackles_1st,successful_tackles_2nd,fouls_1st,fouls_2nd,offsides_1st,offsides_2nd,yellow_cards_1st,yellow_cards_2nd,red_cards_1st,red_cards_2nd,team_1st,team_2nd,score_1st,score_2nd
52,48,17,9,8,3,7,4,485,428,383,318,,,,,17,18,11,11,1,5,1,3,0,0,POGOŃ SZCZECIN,KGHM ZAGŁĘBIE LUBIN,2,1
57,43,5,9,4,2,5,3,600,431,494,353,,,,,23,21,17,17,0,1,5,2,1,0,LEGIA WARSZAWA,WARTA POZNAŃ,0,1
53,47,20,10,10,5,7,6,527,487,411,377,,,,,15,15,9,20,2,4,1,1,0,0,GÓRNIK ZABRZE,JAGIELLONIA BIAŁYSTOK,1,2
41,59,6,16,2,7,4,7,302,529,207,441,,,,,15,13,17,18,2,6,3,6,0,0,BRUK-BET TERMALICA NIECIECZA,JAGIELLONIA BIAŁYSTOK,2,1
52,48,12,6,6,2,7,1,512,477,423,382,,,,,21,21,17,12,1,2,2,3,0,0,KGHM ZAGŁĘBIE LUBIN,LEGIA WARSZAWA,1,3
46,54,11,21,5,8,9,4,446,514,351,411,,,,,12,14,7,21,3,1,2,5,0,0,PGE FKS STAL MIELEC,GÓRNIK ZABRZE,1,2
38,62,10,8,3,3,2,4,403,603,310,517,,,,,18,12,7,9,1,0,0,2,0,0,PIAST GLIWICE,POGOŃ SZCZECIN,0,2
50,50,20,7,8,3,14,1,451,513,359,412,,,,,16,13,13,16,2,4,1,2,0,0,LECHIA GDAŃSK,ŚLĄSK WROCŁAW,2,0
53,47,17,3,4,1,8,3,440,391,347,318,,,,,15,18,9,15,2,3,2,2,0,0,WARTA POZNAŃ,GÓRNIK ŁĘCZNA,1,1
56,44,27,6,11,1,5,4,447,416,351,323,,,,,12,19,11,18,1,1,0,2,0,0,RAKÓW CZĘSTOCHOWA,WISŁA KRAKÓW,2,0
45,55,9,15,4,8,2,5,401,484,322,410,,,,,7,12,15,10,5,3,3,1,1,0,CRACOVIA,LECH POZNAŃ,3,3
49,51,17,12,7,5,10,9,128,173,99,138,,,,,2,9,15,15,1,0,1,3,0,1,RADOMIAK RADOM,WISŁA PŁOCK,1,1
51,49,21,15,10,4,9,4,449,447,369,370,,,,,17,16,17,8,2,0,2,2,0,0,WISŁA KRAKÓW,BRUK-BET TERMALICA NIECIECZA,3,0
41,59,10,14,5,2,9,8,316,474,222,389,,,,,16,19,13,18,4,2,4,4,0,0,WISŁA PŁOCK,LECHIA GDAŃSK,1,0
56,44,17,8,6,4,5,2,543,444,469,369,,,,,17,12,20,16,1,1,5,4,0,0,PIAST GLIWICE,PGE FKS STAL MIELEC,1,1
66,34,6,5,2,3,11,2,608,320,506,240,,,,,19,20,12,19,0,2,1,1,0,0,POGOŃ SZCZECIN,WARTA POZNAŃ,1,1
58,42,11,13,1,7,5,7,496,403,404,314,,,,,16,18,11,17,1,4,3,2,0,0,ŚLĄSK WROCŁAW,CRACOVIA,0,2
61,39,17,10,10,2,7,4,435,317,358,246,,,,,18,11,22,19,4,0,2,2,0,0,RAKÓW CZĘSTOCHOWA,JAGIELLONIA BIAŁYSTOK,5,0
56,44,14,6,7,3,3,3,494,390,411,305,,,,,20,17,14,22,0,2,3,3,0,0,GÓRNIK ŁĘCZNA,KGHM ZAGŁĘBIE LUBIN,2,1
56,44,20,7,7,3,11,6,521,420,419,324,,,,,17,20,13,5,1,1,2,2,0,0,LECH POZNAŃ,GÓRNIK ZABRZE,2,1
62,38,13,13,3,9,4,5,615,335,510,271,,,,,24,16,13,13,1,1,1,3,0,0,LEGIA WARSZAWA,RADOMIAK RADOM,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,PGE FKS STAL MIELEC,BRUK-BET TERMALICA NIECIECZA,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,RAKÓW CZĘSTOCHOWA,PIAST GLIWICE,1,0
47,53,8,9,4,5,0,6,351,452,265,344,,,,,16,19,14,23,1,0,4,1,0,0,RADOMIAK RADOM,LECH POZNAŃ,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,KGHM ZAGŁĘBIE LUBIN,WISŁA KRAKÓW,2,1
64,36,15,13,7,4,8,5,634,341,539,235,,,,,18,18,15,11,1,3,3,2,0,0,LECHIA GDAŃSK,JAGIELLONIA BIAŁYSTOK,1,2
52,48,10,11,4,6,2,5,537,438,429,357,,,,,24,16,21,10,1,1,2,3,0,0,CRACOVIA,GÓRNIK ŁĘCZNA,0,2
42,58,11,12,3,6,2,5,405,544,308,439,,,,,14,18,18,15,2,3,3,4,0,0,WISŁA PŁOCK,LEGIA WARSZAWA,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ZABRZE,POGOŃ SZCZECIN,2,2
27,73,10,12,5,3,0,4,275,844,193,733,,,,,12,12,22,14,2,1,5,1,0,0,WARTA POZNAŃ,ŚLĄSK WROCŁAW,2,1
40,60,6,16,3,6,0,6,362,615,277,516,,,,,10,9,12,25,1,3,3,6,0,1,PGE FKS STAL MIELEC,WISŁA PŁOCK,2,1
55,45,21,13,10,3,1,6,566,497,468,396,,,,,20,14,15,12,1,1,2,2,0,0,GÓRNIK ZABRZE,ŚLĄSK WROCŁAW,3,1
51,49,12,13,5,7,5,5,429,394,324,290,,,,,7,15,16,19,2,4,2,3,0,0,BRUK-BET TERMALICA NIECIECZA,POGOŃ SZCZECIN,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,JAGIELLONIA BIAŁYSTOK,GÓRNIK ŁĘCZNA,1,2
55,45,14,15,7,7,3,4,509,441,420,346,,,,,21,18,23,7,0,1,2,1,1,0,LECHIA GDAŃSK,RAKÓW CZĘSTOCHOWA,3,1
43,57,7,29,2,9,5,6,404,523,309,426,,,,,12,14,14,13,1,4,1,2,0,0,KGHM ZAGŁĘBIE LUBIN,LECH POZNAŃ,2,3
